,name,all_th,img_th,text_th,f1score,precision,recall
13,vote5,0.5,0.5,0.6000000000000001,0.8857750882198732,0.9258167325239774,0.8964806751457979
38,vote5,0.5,0.55,0.5,0.8857064558892942,0.9221804406609114,0.8994862005318963
18,vote5,0.5,0.5,0.6500000000000001,0.8854158492485222,0.9303493834329636,0.8916969633723478
8,vote5,0.5,0.5,0.55,0.8853865184996335,0.9202994204204279,0.9010207986598597
3,vote5,0.5,0.5,0.5,0.8853535294158176,0.9150863883827355,0.9058300220844544
43,vote5,0.5,0.55,0.55,0.885276963256685,0.9266299441168869,0.8948637027078726
48,vote5,0.5,0.55,0.6000000000000001,0.8851110959843733,0.9312046167569505,0.8904680075018703
73,vote5,0.5,0.6000000000000001,0.5,0.8848603506469552,0.9264892070843849,0.8939736533883087
23,vote5,0.5,0.5,0.7000000000000002,0.8845219786290343,0.9342417658537442,0.8867123542792151
53,vote5,0.5,0.55,0.6500000000000001,0.8844316856438084,0.9348463206902881,0.8860867711886452
78,vote5,0.5,0.6000000000000001,0.55,0.8841828714362291,0.9301382610402689,0.8897182723311569
58,vote5,0.5,0.55,0.7000000000000002,0.8838266110351201,0.9381673141426746,0.8821458575057028
108,vote5,0.5,0.6500000000000001,0.5,0.8836900990968936,0.9305442588001979,0.8883852217885314
83,vote5,0.5,0.6000000000000001,0.6000000000000001,0.8833999129208127,0.9340979415454903,0.8851102956806116
113,vote5,0.5,0.6500000000000001,0.55,0.8833037704424457,0.9341440886309383,0.8845773807898896
28,vote5,0.5,0.5,0.7500000000000002,0.8829006319521038,0.9371595538340869,0.8815234001364968
143,vote5,0.5,0.7000000000000002,0.5,0.8826623194026036,0.9338919544974521,0.8835392899934069
88,vote5,0.5,0.6000000000000001,0.6500000000000001,0.8825735112735383,0.9375514573821843,0.8808863732292974
33,vote5,0.5,0.5,0.8000000000000003,0.882247710984394,0.9399717116099799,0.878320619206574
118,vote5,0.5,0.6500000000000001,0.6000000000000001,0.8820710973294023,0.9376494815753394,0.8798148801350072
63,vote5,0.5,0.55,0.7500000000000002,0.882027814609315,0.9404954093603679,0.8774003972125795
148,vote5,0.5,0.7000000000000002,0.55,0.8818855723529055,0.9370435585497632,0.8797801987366456
93,vote5,0.5,0.6000000000000001,0.7000000000000002,0.8816541561357424,0.9405144215888732,0.8767858605293292
178,vote5,0.5,0.7500000000000002,0.5,0.8816232725343326,0.9362254470165332,0.8798166759636545
123,vote5,0.5,0.6500000000000001,0.6500000000000001,0.8812382264562407,0.9405381827486917,0.876207647553844
68,vote5,0.5,0.55,0.8000000000000003,0.8809857704232846,0.9431721267940909,0.8737799565025558
153,vote5,0.5,0.7000000000000002,0.6000000000000001,0.8807658012808668,0.9404835475695053,0.8752988426789416
213,vote5,0.5,0.8000000000000003,0.5,0.8807044945521197,0.9381510684505179,0.8766135246268916
183,vote5,0.5,0.7500000000000002,0.55,0.8805643608951673,0.9389601147393487,0.876121451680144
158,vote5,0.5,0.7000000000000002,0.6500000000000001,0.8802397811462214,0.9436770235531625,0.8721272230268835
98,vote5,0.5,0.6000000000000001,0.7500000000000002,0.880032555310355,0.943053851695544,0.8723610424549785
128,vote5,0.5,0.6500000000000001,0.7000000000000002,0.8798884389663241,0.943195073314467,0.8718713482348681
218,vote5,0.5,0.8000000000000003,0.55,0.8797542272426347,0.9410426620182644,0.8728984010942338
188,vote5,0.5,0.7500000000000002,0.6000000000000001,0.8795567023561821,0.9423295749882113,0.8718289770488631
103,vote5,0.5,0.6000000000000001,0.8000000000000003,0.8789757408069424,0.9458433549148569,0.8686024443546693
193,vote5,0.5,0.7500000000000002,0.6500000000000001,0.878963956974253,0.9457533634539984,0.8683044776678717
248,vote5,0.55,0.55,0.55,0.8787252884788858,0.9343533977599836,0.8777087768450438
163,vote5,0.5,0.7000000000000002,0.7000000000000002,0.8786624502541516,0.94635842622524,0.8675043929931879
253,vote5,0.55,0.55,0.6000000000000001,0.8784741671191686,0.9386713731325409,0.87356282502202
